"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1990",17714.713665,
"AUS","GDP","TOT","USD_CAP","A","1991",18033.315946,
"AUS","GDP","TOT","USD_CAP","A","1992",19023.120054,
"AUS","GDP","TOT","USD_CAP","A","1993",20053.919294,
"AUS","GDP","TOT","USD_CAP","A","1994",21247.943484,
"AUS","GDP","TOT","USD_CAP","A","1995",22304.514595,
"AUS","GDP","TOT","USD_CAP","A","1996",23142.364178,
"AUS","GDP","TOT","USD_CAP","A","1997",24287.187601,
"AUS","GDP","TOT","USD_CAP","A","1998",25480.19433,
"AUS","GDP","TOT","USD_CAP","A","1999",26882.923488,
"AUS","GDP","TOT","USD_CAP","A","2000",28107.796685,
"AUS","GDP","TOT","USD_CAP","A","2001",29265.45031,
"AUS","GDP","TOT","USD_CAP","A","2002",30508.407611,
"AUS","GDP","TOT","USD_CAP","A","2003",32002.931332,
"AUS","GDP","TOT","USD_CAP","A","2004",33584.599363,
"AUS","GDP","TOT","USD_CAP","A","2005",35304.810089,
"AUS","GDP","TOT","USD_CAP","A","2006",37408.404549,
"AUS","GDP","TOT","USD_CAP","A","2007",39156.280013,
"AUS","GDP","TOT","USD_CAP","A","2008",39512.077401,
"AUS","GDP","TOT","USD_CAP","A","2009",41065.765176,
"AUS","GDP","TOT","USD_CAP","A","2010",42217.791805,
"AUS","GDP","TOT","USD_CAP","A","2011",43701.741725,
"AUS","GDP","TOT","USD_CAP","A","2012",43081.019141,
"AUS","GDP","TOT","USD_CAP","A","2013",46826.332792,
"AUS","GDP","TOT","USD_CAP","A","2014",46280.721162,
"AUS","GDP","TOT","USD_CAP","A","2015",47186.251049,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19490.945367,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20625.873682,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21301.967845,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21743.645426,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22652.44945,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23705.552539,
"AUT","GDP","TOT","USD_CAP","A","1996",24573.177237,
"AUT","GDP","TOT","USD_CAP","A","1997",25532.165513,
"AUT","GDP","TOT","USD_CAP","A","1998",26728.577864,
"AUT","GDP","TOT","USD_CAP","A","1999",27752.729392,
"AUT","GDP","TOT","USD_CAP","A","2000",29566.257035,
"AUT","GDP","TOT","USD_CAP","A","2001",29856.597844,
"AUT","GDP","TOT","USD_CAP","A","2002",31260.90112,
"AUT","GDP","TOT","USD_CAP","A","2003",32215.068542,
"AUT","GDP","TOT","USD_CAP","A","2004",33811.135145,
"AUT","GDP","TOT","USD_CAP","A","2005",34701.953425,
"AUT","GDP","TOT","USD_CAP","A","2006",37629.304018,
"AUT","GDP","TOT","USD_CAP","A","2007",39235.749762,
"AUT","GDP","TOT","USD_CAP","A","2008",41151.37897,
"AUT","GDP","TOT","USD_CAP","A","2009",40629.345448,
"AUT","GDP","TOT","USD_CAP","A","2010",41904.456878,
"AUT","GDP","TOT","USD_CAP","A","2011",44038.724883,
"AUT","GDP","TOT","USD_CAP","A","2012",45878.259449,
"AUT","GDP","TOT","USD_CAP","A","2013",47428.274594,
"AUT","GDP","TOT","USD_CAP","A","2014",47693.30889,
"AUT","GDP","TOT","USD_CAP","A","2015",48176.967314,
"BEL","GDP","TOT","USD_CAP","A","1990",19051.681114,"E"
"BEL","GDP","TOT","USD_CAP","A","1991",19970.542809,"E"
"BEL","GDP","TOT","USD_CAP","A","1992",20653.799851,"E"
"BEL","GDP","TOT","USD_CAP","A","1993",20860.840996,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21927.066524,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22870.729873,
"BEL","GDP","TOT","USD_CAP","A","1996",23276.378843,
"BEL","GDP","TOT","USD_CAP","A","1997",24306.369413,
"BEL","GDP","TOT","USD_CAP","A","1998",24831.870751,
"BEL","GDP","TOT","USD_CAP","A","1999",25931.484819,
"BEL","GDP","TOT","USD_CAP","A","2000",28292.799957,
"BEL","GDP","TOT","USD_CAP","A","2001",29213.836852,
"BEL","GDP","TOT","USD_CAP","A","2002",30775.580303,
"BEL","GDP","TOT","USD_CAP","A","2003",31061.742937,
"BEL","GDP","TOT","USD_CAP","A","2004",31988.285928,
"BEL","GDP","TOT","USD_CAP","A","2005",33057.462141,
"BEL","GDP","TOT","USD_CAP","A","2006",35087.87316,
"BEL","GDP","TOT","USD_CAP","A","2007",36592.354913,
"BEL","GDP","TOT","USD_CAP","A","2008",37857.443881,
"BEL","GDP","TOT","USD_CAP","A","2009",37652.08633,
"BEL","GDP","TOT","USD_CAP","A","2010",39303.240633,
"BEL","GDP","TOT","USD_CAP","A","2011",41118.291654,
"BEL","GDP","TOT","USD_CAP","A","2012",42212.31383,
"BEL","GDP","TOT","USD_CAP","A","2013",43358.902017,
"BEL","GDP","TOT","USD_CAP","A","2014",43698.001983,
"BEL","GDP","TOT","USD_CAP","A","2015",44705.696076,
"CAN","GDP","TOT","USD_CAP","A","1990",20157.007182,
"CAN","GDP","TOT","USD_CAP","A","1991",20137.922739,
"CAN","GDP","TOT","USD_CAP","A","1992",20536.551422,
"CAN","GDP","TOT","USD_CAP","A","1993",21343.347332,
"CAN","GDP","TOT","USD_CAP","A","1994",22534.128415,
"CAN","GDP","TOT","USD_CAP","A","1995",23382.006883,
"CAN","GDP","TOT","USD_CAP","A","1996",23938.058794,
"CAN","GDP","TOT","USD_CAP","A","1997",25138.787213,
"CAN","GDP","TOT","USD_CAP","A","1998",26186.918849,
"CAN","GDP","TOT","USD_CAP","A","1999",27745.751307,
"CAN","GDP","TOT","USD_CAP","A","2000",29267.395693,
"CAN","GDP","TOT","USD_CAP","A","2001",30146.023622,
"CAN","GDP","TOT","USD_CAP","A","2002",30854.823032,
"CAN","GDP","TOT","USD_CAP","A","2003",32221.188728,
"CAN","GDP","TOT","USD_CAP","A","2004",33812.437175,
"CAN","GDP","TOT","USD_CAP","A","2005",36212.643556,
"CAN","GDP","TOT","USD_CAP","A","2006",37956.803716,
"CAN","GDP","TOT","USD_CAP","A","2007",39417.544804,
"CAN","GDP","TOT","USD_CAP","A","2008",40277.618235,
"CAN","GDP","TOT","USD_CAP","A","2009",38746.256398,
"CAN","GDP","TOT","USD_CAP","A","2010",40069.452177,
"CAN","GDP","TOT","USD_CAP","A","2011",41565.258933,
"CAN","GDP","TOT","USD_CAP","A","2012",42143.975015,
"CAN","GDP","TOT","USD_CAP","A","2013",44281.282983,
"CAN","GDP","TOT","USD_CAP","A","2014",45025.021682,
"CAN","GDP","TOT","USD_CAP","A","2015",45388.774814,"E"
"CZE","GDP","TOT","USD_CAP","A","1990",12680.210989,"E"
"CZE","GDP","TOT","USD_CAP","A","1991",11641.17903,"E"
"CZE","GDP","TOT","USD_CAP","A","1992",11835.757168,"E"
"CZE","GDP","TOT","USD_CAP","A","1993",12109.838793,"E"
"CZE","GDP","TOT","USD_CAP","A","1994",12720.522514,"E"
"CZE","GDP","TOT","USD_CAP","A","1995",13800.946915,
"CZE","GDP","TOT","USD_CAP","A","1996",14684.933658,
"CZE","GDP","TOT","USD_CAP","A","1997",14893.367307,
"CZE","GDP","TOT","USD_CAP","A","1998",14968.426066,
"CZE","GDP","TOT","USD_CAP","A","1999",15388.985951,
"CZE","GDP","TOT","USD_CAP","A","2000",16254.830012,
